activity_daily_movement,activity_high,activity_inactive,activity_score,activity_score_meet_daily_targets,activity_score_move_every_hour,activity_steps,activity_total
883,0,645,44,1,95,1971,122
1162,0,155,46,1,100,1675,81
8904,0,349,98,95,95,12304,513
16166,4,338,94,78,100,19596,581
8622,2,565,94,95,100,11043,318
8485,0,497,90,100,78,11585,357
13732,1,360,93,100,100,16190,449
4540,0,362,91,100,100,6117,307
13743,4,466,98,100,100,16006,601
15535,0,239,100,100,100,18507,551
13205,1,429,98,100,95,15067,549
16404,1,375,95,100,100,18463,543
6871,0,472,96,95,100,8696,367
10217,2,519,95,95,95,12730,393
12306,1,413,97,95,95,15217,474
10230,1,348,97,95,100,13734,470
11660,0,460,95,100,100,14999,521
8001,0,540,96,100,100,10373,304
8924,0,502,97,100,100,11240,327
16745,2,285,100,100,100,18953,717
10806,0,370,99,100,100,12231,475
9468,0,505,96,100,95,11166,407
6767,1,406,98,100,100,8531,365
11606,0,424,98,100,95,14540,488
12305,0,326,100,100,100,15599,519
9202,1,380,98,100,100,12573,504
10111,0,330,99,100,100,12932,518
14518,0,386,99,100,95,16963,485
9710,1,195,99,100,100,12464,565
11996,1,314,100,100,100,14667,511
12129,0,273,100,100,100,14347,607
9719,1,509,96,100,100,11860,506
5141,2,615,95,100,100,6313,274
11126,0,394,97,95,100,13683,408
10371,0,311,97,95,100,12374,496
9774,0,480,96,95,100,12070,505
9278,0,647,92,95,95,11704,449
8268,1,491,97,100,100,10017,379
9603,0,425,98,100,100,11024,391
6042,0,533,96,100,100,8347,264
6033,2,335,99,100,100,8020,395
6034,0,496,97,100,100,7780,380
11225,0,412,98,100,100,13185,435
13689,2,504,96,100,95,16373,472
16152,1,349,98,100,100,17456,614
13037,1,212,96,100,100,14342,496
15003,2,351,94,100,100,16424,576
15967,2,235,91,100,100,16974,545
11912,0,331,88,100,100,13840,524
19801,1,177,77,100,100,20999,702
9686,0,538,96,100,95,11417,443
3845,0,473,97,100,100,5739,307
9480,2,426,98,100,100,11396,393
9433,0,574,95,100,95,10414,425
9885,1,451,95,100,95,11164,410
14008,2,407,93,100,95,15709,485
11541,1,498,87,100,95,14440,446
10878,0,317,78,100,100,12262,441
10281,1,519,73,100,100,12300,454
8624,1,475,82,100,100,11150,366
2250,0,750,88,95,78,3372,175
5124,1,615,87,78,100,6316,259
9596,0,611,89,78,100,12295,371
10783,1,303,94,78,100,13671,466
11341,0,469,91,78,100,13041,509
7314,1,595,86,78,100,8408,308
6648,0,376,93,95,100,8233,325
11265,4,361,94,95,100,13586,438
9289,5,272,99,95,100,10744,274
12816,2,389,98,95,100,14863,369
13987,1,414,98,100,100,16642,387
14961,3,421,95,100,100,18358,403
10081,2,396,92,100,95,12042,377
